"Category","Peak Demand","Peak Met"
" All India<br>Jan-2020",171592.1733519581,170976.0852050781
" All India<br>Jan-2020",171592.1733519581,170976.0852050781
" All India<br>Feb-2020",179098.2594765625,176387.5634765625
" All India<br>Feb-2020",179098.2594765625,176387.5634765625
" All India<br>Mar-2020",170748.5862971534,170164.9310302734
" All India<br>Apr-2020",133200.2905496094,132733.1833496094
" All India<br>May-2020",166889.6747726706,166225.3947753906
" All India<br>Jun-2020",166686.3649035156,164981.6169433594
" All India<br>Jul-2020",171509.50978287,170408.30859375
" All India<br>Aug-2020",169126.9860839844,167528
" All India<br>Sep-2020",177018.7533886719,176413.4733886719
" All India<br>Oct-2020",170555.6963125475,169898.8176269531
" All India<br>Nov-2020",161398.1325893785,160778.90234375
" All India<br>Dec-2020",183548.4688975638,182783.907714844
" All India<br>Jan-2021",190197.5091496329,189395.052734375
" All India<br>Feb-2021",189912.7977294922,187969.7977294922
" All India<br>Mar-2021",186388.7464337234,185892.1536865234
" All India<br>Apr-2021",183036.5467529297,182379.0744628906
" All India<br>May-2021",169132.3443288175,168780.8735351562
" All India<br>Jun-2021",193996.2739576466,191242.6735839844
" All India<br>Jul-2021",203013.5656738281,200538.5656738281
" All India<br>Aug-2021",197739.1552186219,196271.0476074219
" All India<br>Sep-2021",181091.9090195512,180735.71875
" All India<br>Oct-2021",180293.174901982,174446.8515625
" All India<br>Nov-2021",166687.0865917969,166105.2165527344
" All India<br>Dec-2021",184313.8518469915,183248.6881103516
" All India<br>Jan-2022",193089.8718517847,192182.2702636719
" All India<br>Feb-2022",193859.345737615,193587.943359375
" All India<br>Feb-2022",193859.345737615,193587.943359375
" All India<br>Mar-2022",201954.6872476551,199429.6893310547
" All India<br>Mar-2022",201954.6872476551,199429.6893310547
" All India<br>Apr-2022",215888.203221875,207231.3549804688
" All India<br>Apr-2022",215888.203221875,207231.3549804688
" All India<br>May-2022",205995.6401807488,204474.1940917969
" All India<br>May-2022",205995.6401807488,204474.1940917969
" All India<br>Jun-2022",212341.2289408381,211725.8154296875
" All India<br>Jun-2022",212341.2289408381,211725.8154296875
" All India<br>Jul-2022",192363.0078125,190355.31128
" All India<br>Jul-2022",192363.0078125,190355.31128
" All India<br>Aug-2022",196611.4833886719,195226.0705566406
" All India<br>Sep-2022",200351.4078791394,199501.0327148438
" All India<br>Oct-2022",187041.15196288,186900
" All India<br>Nov-2022",188481.0961890625,187346.1337890625
" All India<br>Dec-2022",206488.6276387384,205101.43359375
" All India<br>Jan-2023",212559.2750289706,210724.9494628906
" All India<br>Feb-2023",211214.6261252706,209766.6291503906
" All India<br>Mar-2023",209361.4453125,208927.8305664062
" All India<br>Apr-2023",216141.5090332031,215971.5090332031
" All India<br>May-2023",221717.7915725,221423.0859375
" All India<br>Jun-2023",224106.0695660344,223291.8916015625
" All India<br>Jul-2023",209038.7523039369,208951.8112792969
" All India<br>Aug-2023",238823.8231701269,236295.4318847656
" All India<br>Sep-2023",243271.4692566406,239931.0705566406
" All India<br>Oct-2023",222159.5085122699,221539.3112792969
" All India<br>Nov-2023",204777.3225859977,204568.3291015625
" All India<br>Dec-2023",213793.1791176484,213620.2493896484
" All India<br>Jan-2024",223516.0880371094,222327
" All India<br>Feb-2024",222166.3369140625,222003
" All India<br>Mar-2024",221823,221684.005859375
" All India<br>Apr-2024",224181.0776933118,224051.9584960938
" All India<br>May-2024",249856.3259937692,249854.3353271484
" All India<br>Jun-2024",244529.3285274517,244520.2995605469
